word,count
title,23
text,13
road,12
you,11
ad,11
days,11
are,11
job,10
for,10
news,7
publish,7
date,7
city,7
the,7
car,6
accident,6
on,6
must,6
be,6
careful,6
is,6
temporarily,6
closed,6
private,6
left,6
i,6
am,6
selling,6
my,6
skoda,6
phone,6
number,6
price,6
to,6
description,5
we,5
looking,5
an,5
ambitious,5
person,5
join,5
our,5
company,5
if,5
interested,5
please,5
contact,5
us,5
salary,5
valid,5
fabia,4
minsk,3
java,2
developer,2
gdansk,2
rapid,2
doctor,2
cracow,1
junior,1
manager,1
berlin,1
elections,1
coming,1
up,1
dont,1
forget,1
vote,1
